Название_позиции,Ключевые_слова,Описание,Тип_товара,Цена,Валюта,Единица_измерения,Ссылка_изображения,Наличие,Идентификатор_товара
Окно-люк FAKRO WSH 54x75 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>  ----люк FAKRO WS предназначено для неотапливаемых нежилых мансардных помещений. Обеспечивает безопасный выход на крышу для проведения ремонтных или уборочных работ. Окно-люк – это окно с крышкой, изготовленной из поликарбоната, стойкого к воздействию окружающей среды. Крышка открывается по верхним петлям на угол до 180°, обеспечивая свободный выход на крышу, а также эффективное дополнительное  --- и возможность проветривания, благодаря двум положениям фиксации.</p></div>",u,"3 907,80",UAH,шт,https://images.ua.prom.st/494631651_w640_h640_cid1051305_pid347436592-591bc1b1.jpg,+,533697157
Окно-люк FAKRO WSS 86x86 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>  ----люк FAKRO WS предназначено для неотапливаемых нежилых мансардных помещений. Обеспечивает безопасный выход на крышу для проведения ремонтных или уборочных работ. Окно-люк – это окно с крышкой, изготовленной из поликарбоната, стойкого к воздействию окружающей среды. Крышка открывается по верхним петлям на угол до 180°, обеспечивая свободный выход на крышу, а также эффективное дополнительное  --- и возможность проветривания, благодаря двум положениям фиксации.</p></div>",u,4 095,UAH,шт,https://images.ua.prom.st/494631648_w640_h640_cid1051305_pid347436589-168e8e2b.jpg,+,846588762
Мансардное окно ROTO R75 K 7x11 ПВХ,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>  --- R75 с поднятой на ¾ осью поворота - это уникальное решение от компании Roto. Благодаря смещенной оси выше центра, при открытии окна в помещении создается больше свободного пространства, что облегчает подход к окну и дает возможность его обслуживать стоя в полный рост. </p></div>",u,"9 945,78",UAH,шт,https://images.ua.prom.st/494631657_w640_h640_cid1051305_pid347436598-1c09ef11.jpg,+,93662351
Мансардное окно FAKRO Standart FTS U2 66x98 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> --- FTS U2 — базовая модель в ассортименте Fakro. Это популярная конструкция окон с петлями посередине высоты окна. Изготовлено из сосновой древесины высокого качества (клееный брус), пропитанной антисептиком в вакуумной камере под давлением. Деревянные элементы покрыты 2 слоями экологического акрилового лака.</p> <p>Ручка, расположена в нижней части окна позволяет плотно закрыть окно или разместить раму в двух позициях, оставив щель между ней и оконной коробкой для доступа свежего воздуха в помещение. Энергосберегающий стеклопакет с низко эмиссионным слоем заполнен инертным газом – аргоном.</p> <p>Высокий уровень термоизоляции также обеспечивает система с 2 уплотнителей. Окно FTS U2 оборудовано вентиляционной щелью V10, которая обеспечивает доступ свежего воздуха в помещении при плотно закрытом окне. Производительность вентиляционной щели можно регулировать вручную в зависимости от потребности.<br/>  </p></div>",u,"4 492,80",UAH,шт,https://images.ua.prom.st/813735705_w640_h640_cid1051305_pid544358685-aff4def3.jpg,+,687499872
Мансардное окно ROTO R45 H 7x11 дерево,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>  --- R45 класса стандарт. </p> <p>Окно Roto шумо-, влаго- и ветронепроницаемое. Имеет центральную ось поворота, бронированный стеклопакет с возможностью установки дополнительного теплоизоляционного оклада, который уменьшает теплопроводность до 15%. Легко моется как изнутри так и снаружи. Возможно открывание на проветривание.</p></div>",u,"5 506,57",UAH,шт,https://images.ua.prom.st/494631666_w640_h640_cid1051305_pid347436607-0c5d572b.jpg,+,970610851
Мансардное окно FAKRO Standart FTS U2 78x118 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> --- FTS U2 — базовая модель в ассортименте Fakro. Это популярная конструкция окон с петлями посередине высоты окна. Изготовлено из сосновой древесины высокого качества (клееный брус), пропитанной антисептиком в вакуумной камере под давлением. Деревянные элементы покрыты 2 слоями экологического акрилового лака.</p> <p>Ручка, расположена в нижней части окна позволяет плотно закрыть окно или разместить раму в двух позициях, оставив щель между ней и оконной коробкой для доступа свежего воздуха в помещение. Энергосберегающий стеклопакет с низко эмиссионным слоем заполнен инертным газом – аргоном.</p> <p>Высокий уровень термоизоляции также обеспечивает система с 2 уплотнителей. Окно FTS U2 оборудовано вентиляционной щелью V10, которая обеспечивает доступ свежего воздуха в помещении при плотно закрытом окне. Производительность вентиляционной щели можно регулировать вручную в зависимости от потребности.<br/>  </p></div>",u,"5 241,60",UAH,шт,https://images.ua.prom.st/813735697_w640_h640_cid1051305_pid544358688-03bb8ff2.jpg,+,645485852
Гидроизоляционный оклад ROTO BTN 7x11,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p> Незаменимым дополнением к  --- являются гидроизоляционные оклады, которые были разработаны для разных типов кровельных покрытий с целью обеспечения идеального соединения поверхности кровли с устанавливаемым  ---.</p></div>",u,"1 285,67",UAH,шт,https://images.ua.prom.st/494631663_w640_h640_cid1051305_pid347436604-c27169f1.jpg,+,831404724
Мансардное окно ROTO R75 H 7x11 дерево,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>  --- R75 с поднятой на ¾ осью поворота - это уникальное решение от компании Roto. Благодаря смещенной оси выше центра, при открытии окна в помещении создается больше свободного пространства, что облегчает подход к окну и дает возможность его обслуживать стоя в полный рост. </p></div>",u,"8 951,20",UAH,шт,https://images.ua.prom.st/494631654_w640_h640_cid1051305_pid347436595-9319cf00.jpg,+,108389995
Гидроизоляционный оклад для окон-вылазов FAKRO EZW-P 78x118 см.,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> Изоляционный оклад - обязательный элемент для всех мансардных окон, обеспечивающий герметичную установку окна в крышу.</p> <p>Изоляционный оклад подбирается в зависимости от вида кровельного покрытия - для плоских кровельных материалов (фальцевая кровля, битумная черепица и др.) или для  ---металлочерепица, профнастил и др.). </p></div>",u,2 223,UAH,шт,https://images.ua.prom.st/813735688_w640_h640_cid1051305_pid347436587-bebd1c79.jpg,+,726017544
Гидроизоляционный оклад ROTO ZIE 7x11,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p> Незаменимым дополнением к  --- являются гидроизоляционные оклады, которые были разработаны для разных типов кровельных покрытий с целью обеспечения идеального соединения поверхности кровли с устанавливаемым  ---.</p></div>",u,1 504,UAH,шт,https://images.ua.prom.st/494631660_w640_h640_cid1051305_pid347436601-342a19be.jpg,+,130417420
Окно-люк FAKRO WSH 86x86 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>  ----люк FAKRO WS предназначено для неотапливаемых нежилых мансардных помещений. Обеспечивает безопасный выход на крышу для проведения ремонтных или уборочных работ. Окно-люк – это окно с крышкой, изготовленной из поликарбоната, стойкого к воздействию окружающей среды. Крышка открывается по верхним петлям на угол до 180°, обеспечивая свободный выход на крышу, а также эффективное дополнительное  --- и возможность проветривания, благодаря двум положениям фиксации.</p></div>",u,4 797,UAH,шт,https://images.ua.prom.st/494631652_w640_h640_cid1051305_pid347436593-00c68ce6.jpg,+,97195938
Окно-люк FAKRO WSZ 54x75 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>  ----люк FAKRO WS предназначено для неотапливаемых нежилых мансардных помещений. Обеспечивает безопасный выход на крышу для проведения ремонтных или уборочных работ. Окно-люк – это окно с крышкой, изготовленной из поликарбоната, стойкого к воздействию окружающей среды. Крышка открывается по верхним петлям на угол до 180°, обеспечивая свободный выход на крышу, а также эффективное дополнительное  --- и возможность проветривания, благодаря двум положениям фиксации.</p></div>",u,3 510,UAH,шт,https://images.ua.prom.st/494631649_w640_h640_cid1051305_pid347436590-79f8cf0d.jpg,+,959950157
Мансардное окно ROTO R75 K 7x14 ПВХ,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>  --- R75 с поднятой на ¾ осью поворота - это уникальное решение от компании Roto. Благодаря смещенной оси выше центра, при открытии окна в помещении создается больше свободного пространства, что облегчает подход к окну и дает возможность его обслуживать стоя в полный рост. </p></div>",u,"10 940,36",UAH,шт,https://images.ua.prom.st/494631658_w640_h640_cid1051305_pid347436599-b43037a1.jpg,+,791713037
Мансардное окно FAKRO Standart FTS U2 66x118 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> --- FTS U2 — базовая модель в ассортименте Fakro. Это популярная конструкция окон с петлями посередине высоты окна. Изготовлено из сосновой древесины высокого качества (клееный брус), пропитанной антисептиком в вакуумной камере под давлением. Деревянные элементы покрыты 2 слоями экологического акрилового лака.</p> <p>Ручка, расположена в нижней части окна позволяет плотно закрыть окно или разместить раму в двух позициях, оставив щель между ней и оконной коробкой для доступа свежего воздуха в помещение. Энергосберегающий стеклопакет с низко эмиссионным слоем заполнен инертным газом – аргоном.</p> <p>Высокий уровень термоизоляции также обеспечивает система с 2 уплотнителей. Окно FTS U2 оборудовано вентиляционной щелью V10, которая обеспечивает доступ свежего воздуха в помещении при плотно закрытом окне. Производительность вентиляционной щели можно регулировать вручную в зависимости от потребности.<br/>  </p></div>",u,"4 703,40",UAH,шт,https://images.ua.prom.st/813735689_w640_h640_cid1051305_pid544358686-dd008e49.jpg,+,17295768
Мансардное окно ROTO R45 H 7x14 дерево,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>  --- R45 класса стандарт. </p> <p>Окно Roto шумо-, влаго- и ветронепроницаемое. Имеет центральную ось поворота, бронированный стеклопакет с возможностью установки дополнительного теплоизоляционного оклада, который уменьшает теплопроводность до 15%. Легко моется как изнутри так и снаружи. Возможно открывание на проветривание.</p></div>",u,"6 064,50",UAH,шт,https://images.ua.prom.st/494631667_w640_h640_cid1051305_pid347436608-da3c1a0c.jpg,+,830652093
Гидроизоляционный оклад ROTO BTN 7x14,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p> Незаменимым дополнением к  --- являются гидроизоляционные оклады, которые были разработаны для разных типов кровельных покрытий с целью обеспечения идеального соединения поверхности кровли с устанавливаемым  ---.</p></div>",u,"1 382,71",UAH,шт,https://images.ua.prom.st/494631664_w640_h640_cid1051305_pid347436605-89d7d965.jpg,+,344302327
Мансардное окно ROTO R45 K 7x9 ПВХ,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>  --- R45 класса стандарт. </p> <p>Окно Roto шумо-, влаго- и ветронепроницаемое. Имеет центральную ось поворота, бронированный стеклопакет с возможностью установки дополнительного теплоизоляционного оклада, который уменьшает теплопроводность до 15%. Легко моется как изнутри так и снаружи. Возможно открывание на проветривание.</p></div>",u,"6 767,98",UAH,шт,https://images.ua.prom.st/494631668_w640_h640_cid1051305_pid347436609-6d9d34cc.jpg,+,700415385
Мансардное окно FAKRO Standart FTS U2 78x140 см. дерево,Мансардные окна FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p> --- FTS U2 — базовая модель в ассортименте Fakro. Это популярная конструкция окон с петлями посередине высоты окна. Изготовлено из сосновой древесины высокого качества (клееный брус), пропитанной антисептиком в вакуумной камере под давлением. Деревянные элементы покрыты 2 слоями экологического акрилового лака.</p> <p>Ручка, расположена в нижней части окна позволяет плотно закрыть окно или разместить раму в двух позициях, оставив щель между ней и оконной коробкой для доступа свежего воздуха в помещение. Энергосберегающий стеклопакет с низко эмиссионным слоем заполнен инертным газом – аргоном.</p> <p>Высокий уровень термоизоляции также обеспечивает система с 2 уплотнителей. Окно FTS U2 оборудовано вентиляционной щелью V10, которая обеспечивает доступ свежего воздуха в помещении при плотно закрытом окне. Производительность вентиляционной щели можно регулировать вручную в зависимости от потребности.<br/>  </p></div>",u,"5 756,40",UAH,шт,https://images.ua.prom.st/813735701_w640_h640_cid1051305_pid544358689-81ea4b0f.jpg,+,339232607
Гидроизоляционный оклад ROTO ZIE 7x14,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p> Незаменимым дополнением к  --- являются гидроизоляционные оклады, которые были разработаны для разных типов кровельных покрытий с целью обеспечения идеального соединения поверхности кровли с устанавливаемым  ---.</p></div>",u,"1 625,29",UAH,шт,https://images.ua.prom.st/494631661_w640_h640_cid1051305_pid347436602-47497e9f.jpg,+,774017851
Кровельный люк ROTO WDL R27 H 4x6 влево либо вправо дерево,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p> Для безпрепятственного и безопасного выхода на крышу, компания Roto предлагает удобное решение – кровельный люк (вылаз на крышу) со стеклопакетом Lucarno. Люк оснащен фиксатором открывания створки. Люки Lucarno предназначены для использования в неотапливаемых помещениях, таких как холодный чердак.</p></div>",u,"2 619,86",UAH,шт,https://images.ua.prom.st/746253440_w640_h640_cid1051305_pid347436612-e1410601.jpg,+,366251326
Мансардное окно VELUX GZR 3050 Optima Standart 66x118 см. дерево,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p> Мансардное окно Velux GZR с верхн ---ткрыванием по центральной оси — недорогое и функциональное мансардное окно, которое прекрасн ---епогоды.</p> <p>Благодаря увеличенной площади остекления окна Velux серии GZR пропускают больше света, по сравнению с предыдущими моделями. Окно Velux GZR 3050 комплектуется верхней ручкой-планкой, помогает расположить окно на оптимальной высоте от пола и обеспечивает прекрасный вид.</p> <p>Окно удобно открывать, даже если под ним стоит мебель. Встроенная вентиляция в Мансардные окна Velux серии GZR позволяет проветривать комнату даже при закрытом окне.</p> <p>Для установки мансардного окна дополнительно нужно приобрести оклад, соответсвующий типу вашей кровли (профилированная или плоская).</p></div>",u,"4 122,50",UAH,шт,https://images.ua.prom.st/494631674_w640_h640_cid1051305_pid347436615-c8e57613.jpg,+,299683167
Мансардное окно ROTO R75 H 7x14 дерево,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>  --- R75 с поднятой на ¾ осью поворота - это уникальное решение от компании Roto. Благодаря смещенной оси выше центра, при открытии окна в помещении создается больше свободного пространства, что облегчает подход к окну и дает возможность его обслуживать стоя в полный рост. </p></div>",u,"10 091,33",UAH,шт,https://images.ua.prom.st/494631655_w640_h640_cid1051305_pid347436596-9e4d902e.jpg,+,433387319
Мансардное окно VELUX GZR 3050 Optima Standart 78x140 см. дерево,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p> Мансардное окно Velux GZR с верхн ---ткрыванием по центральной оси — недорогое и функциональное мансардное окно, которое прекрасн ---епогоды.</p> <p>Благодаря увеличенной площади остекления окна Velux серии GZR пропускают больше света, по сравнению с предыдущими моделями. Окно Velux GZR 3050 комплектуется верхней ручкой-планкой, помогает расположить окно на оптимальной высоте от пола и обеспечивает прекрасный вид.</p> <p>Окно удобно открывать, даже если под ним стоит мебель. Встроенная вентиляция в Мансардные окна Velux серии GZR позволяет проветривать комнату даже при закрытом окне.</p> <p>Для установки мансардного окна дополнительно нужно приобрести оклад, соответсвующий типу вашей кровли (профилированная или плоская).</p></div>",u,"4 870,50",UAH,шт,https://images.ua.prom.st/494631677_w640_h640_cid1051305_pid347436618-e6a47604.jpg,+,152322617
Гидроизоляционный оклад Velux EWR 0000 78x98 см.,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p>Для установки мансардных окон необходимо использовать оклад. Оклады Velux обеспечивают герметичную и простую установку окна в кровлю и подходят ко всем видам кровельных покрытий. Конструкция окладов полностью исключает проникновение влаги внутрь помещения.</p></div>",u,"1 249,50",UAH,шт,https://images.ua.prom.st/494631683_w640_h640_cid1051305_pid347436624-831f7131.jpg,+,438807919
Мансардное окно VELUX GLR 3073 Optima Comfort 78x118 см. дерево,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p> Мансардное окно VELUX GLR 3073 -  ---м по центральной оси и ручкой сверху из клееной древесины (сосна) с двойным лаковым покрытием.</p> <p>Модель оснащена вентиляционным устройством, расположенным в верхней части окна (воздухообмен до 24 (м3/час) при 10 (Па)).</p> <p>Любители современного дизайна высоко оценят внешний вид окон VELUX GLR 3073: безупречно гладкую поверхность дерева и конструкцию с элегантной тонкой рамой. Вентиляционный клапан имеет два положения для проветривания, выполнен в лаконичном стиле с плавными линиями и закругленными краями позволяет проветривать комнату даже при закрытом окне. Съемный фильтр защитит от пыли и насекомых.</p> <p>Для установки мансардного окна дополнительно ну ---клад, соответсвующий типу вашей кровли (профилированная или плоская).</p></div>",u,"5 312,50",UAH,шт,https://images.ua.prom.st/494631680_w640_h640_cid1051305_pid347436621-ee93f3f6.jpg,+,454135091
Гидроизоляционный оклад Velux ESR 0000 66x118 см.,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p>Для установки мансардных окон необходимо использовать оклад. Оклады Velux обеспечивают герметичную и простую установку окна в кровлю и подходят ко всем видам кровельных покрытий. Конструкция окладов полностью исключает проникновение влаги внутрь помещения.</p></div>",u,1 122,UAH,шт,https://images.ua.prom.st/494631686_w640_h640_cid1051305_pid347436627-a0d180a6.png,+,663168493
Гидроизоляционный оклад Velux ESR 0000 78x140 см.,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p>Для установки мансардных окон необходимо использовать оклад. Оклады Velux обеспечивают герметичную и простую установку окна в кровлю и подходят ко всем видам кровельных покрытий. Конструкция окладов полностью исключает проникновение влаги внутрь помещения.</p></div>",u,1 377,UAH,шт,https://images.ua.prom.st/494631689_w640_h640_cid1051305_pid347436630-d229a8d0.png,+,134746121
Мансардное окно VELUX GGL 3070 Premium 78x118 см. дерево,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p>Мансардное окно VELUX GGL 3070 -  ---рыванием по центральной оси. Окно из клееной древесины (сосна), имеет три слоя лакового покрытия. Модель оснащена вентиляционным клапаном-форточкой, совмещенным с ручкой для открывания (воздухообмен до 39 м3/час при 10 Па).</p> <p>Обновленная ручка-планка в верхней части окна обеспечивает удобство открывания и имеет встроенный вентиляционный клапан. Кроме того, при таком открывании под окном удобно расположить мебель. </p> <p>Новая усовершенствованная система изоляции ThermoTechnology™ эффективно защитит от ветра и холодного воздуха. Благодаря специальному герметичному уплотнителю окно будет сохранять тепло в доме, уменьшая энергозатраты.</p> <p>Для установки мансардного окна дополнительно ну ---клад, соответсвующий типу вашей кровли (профилированная или плоская).</p></div>",u,"8 831,50",UAH,шт,https://images.ua.prom.st/494631692_w640_h640_cid1051305_pid347436633-dd681db1.jpg,+,961177816
Мансардное окно ROTO R45 K 7x11 ПВХ,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p>  --- R45 класса стандарт. </p> <p>Окно Roto шумо-, влаго- и ветронепроницаемое. Имеет центральную ось поворота, бронированный стеклопакет с возможностью установки дополнительного теплоизоляционного оклада, который уменьшает теплопроводность до 15%. Легко моется как изнутри так и снаружи. Возможно открывание на проветривание.</p></div>",u,"7 471,46",UAH,шт,https://images.ua.prom.st/494631669_w640_h640_cid1051305_pid347436610-0d06c3b8.jpg,+,573420390
Кровельный люк ROTO WDL R27 H 4x7 снизу-вверх дерево,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p> Для безпрепятственного и безопасного выхода на крышу, компания Roto предлагает удобное решение – кровельный люк (вылаз на крышу) со стеклопакетом Lucarno. Люк оснащен фиксатором открывания створки. Люки Lucarno предназначены для использования в неотапливаемых помещениях, таких как холодный чердак.</p></div>",u,"2 862,44",UAH,шт,https://images.ua.prom.st/746253441_w640_h640_cid1051305_pid347436613-1ac73608.jpg,+,944785306
Мансардное окно VELUX GZR 3050 Optima Standart 78x98 см. дерево,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p> Мансардное окно Velux GZR с верхн ---ткрыванием по центральной оси — недорогое и функциональное мансардное окно, которое прекрасн ---епогоды.</p> <p>Благодаря увеличенной площади остекления окна Velux серии GZR пропускают больше света, по сравнению с предыдущими моделями. Окно Velux GZR 3050 комплектуется верхней ручкой-планкой, помогает расположить окно на оптимальной высоте от пола и обеспечивает прекрасный вид.</p> <p>Окно удобно открывать, даже если под ним стоит мебель. Встроенная вентиляция в Мансардные окна Velux серии GZR позволяет проветривать комнату даже при закрытом окне.</p> <p>Для установки мансардного окна дополнительно нужно приобрести оклад, соответсвующий типу вашей кровли (профилированная или плоская).</p></div>",u,"4 122,50",UAH,шт,https://images.ua.prom.st/494631675_w640_h640_cid1051305_pid347436616-179dd132.jpg,+,644378517
Гидроизоляционный оклад Velux EWR 0000 78x118 см.,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p>Для установки мансардных окон необходимо использовать оклад. Оклады Velux обеспечивают герметичную и простую установку окна в кровлю и подходят ко всем видам кровельных покрытий. Конструкция окладов полностью исключает проникновение влаги внутрь помещения.</p></div>",u,1 394,UAH,шт,https://images.ua.prom.st/494631684_w640_h640_cid1051305_pid347436625-ed458244.jpg,+,789049486
Мансардное окно VELUX GLR 3073 Optima Comfort 78x140 см. дерево,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p> Мансардное окно VELUX GLR 3073 -  ---м по центральной оси и ручкой сверху из клееной древесины (сосна) с двойным лаковым покрытием.</p> <p>Модель оснащена вентиляционным устройством, расположенным в верхней части окна (воздухообмен до 24 (м3/час) при 10 (Па)).</p> <p>Любители современного дизайна высоко оценят внешний вид окон VELUX GLR 3073: безупречно гладкую поверхность дерева и конструкцию с элегантной тонкой рамой. Вентиляционный клапан имеет два положения для проветривания, выполнен в лаконичном стиле с плавными линиями и закругленными краями позволяет проветривать комнату даже при закрытом окне. Съемный фильтр защитит от пыли и насекомых.</p> <p>Для установки мансардного окна дополнительно ну ---клад, соответсвующий типу вашей кровли (профилированная или плоская).</p></div>",u,5 848,UAH,шт,https://images.ua.prom.st/494631681_w640_h640_cid1051305_pid347436622-a2f93525.jpg,+,819517437
Мансардное окно VELUX GGU 0066 Premium 78x118 см. полиуретан,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p>Мансардное окно VELUX GGU 3066 -  --- центральной оси. Модель оснащена вентиляционным клапаном-форточкой, совмещенным с ручкой для открывания (воздухообмен до 39 м3/час при 10 Па).</p> <p>Обновленная ручка-планка в верхней части окна обеспечивает удобство открывания и имеет встроенный вентиляционный клапан. Кроме того, при таком открывании под окном удобно расположить мебель. </p> <p>Новая усовершенствованная система изоляции ThermoTechnology™ эффективно защитит от ветра и холодного воздуха. Благодаря специальному герметичному уплотнителю окно будет сохранять тепло в доме, уменьшая энергозатраты.</p> <p>Для установки мансардного окна дополнительно ну ---клад, соответсвующий типу вашей кровли (профилированная или плоская).</p></div>",u,"13 608,50",UAH,шт,https://images.ua.prom.st/494631695_w640_h640_cid1051305_pid347436636-847313d5.jpg,+,708204616
Мансардное окно VELUX GLR 3073 Optima Comfort 66x118 см. дерево,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p> Мансардное окно VELUX GLR 3073 -  ---м по центральной оси и ручкой сверху из клееной древесины (сосна) с двойным лаковым покрытием.</p> <p>Модель оснащена вентиляционным устройством, расположенным в верхней части окна (воздухообмен до 24 (м3/час) при 10 (Па)).</p> <p>Любители современного дизайна высоко оценят внешний вид окон VELUX GLR 3073: безупречно гладкую поверхность дерева и конструкцию с элегантной тонкой рамой. Вентиляционный клапан имеет два положения для проветривания, выполнен в лаконичном стиле с плавными линиями и закругленными краями позволяет проветривать комнату даже при закрытом окне. Съемный фильтр защитит от пыли и насекомых.</p> <p>Для установки мансардного окна дополнительно ну ---клад, соответсвующий типу вашей кровли (профилированная или плоская).</p></div>",u,"4 938,50",UAH,шт,https://images.ua.prom.st/494631678_w640_h640_cid1051305_pid347436619-c3028239.jpg,+,525481134
Кровельный люк ROTO WDA 35H 7x9 влево и вправо дерево,Мансардные окна ROTO,"<div data-qaid=""product_description"" itemprop=""description""><p> В люках Рото WDA R35 установлен стандартный стеклопакет Roto blueLine (однокамерный энергосберегающий стеклопакет: закаленное стекло снаружи, заполнен аргоном). Это дает возможность устанавливать люк WDA R35 в жилой комнате мансардного помещения.</p></div>",u,"7 786,82",UAH,шт,https://images.ua.prom.st/494631673_w640_h640_cid1051305_pid347436614-4d375b1f.jpg,+,392612470
Мансардное окно VELUX GGL 3070 Premium 66x118 см. дерево,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p>Мансардное окно VELUX GGL 3070 -  ---рыванием по центральной оси. Окно из клееной древесины (сосна), имеет три слоя лакового покрытия. Модель оснащена вентиляционным клапаном-форточкой, совмещенным с ручкой для открывания (воздухообмен до 39 м3/час при 10 Па).</p> <p>Обновленная ручка-планка в верхней части окна обеспечивает удобство открывания и имеет встроенный вентиляционный клапан. Кроме того, при таком открывании под окном удобно расположить мебель. </p> <p>Новая усовершенствованная система изоляции ThermoTechnology™ эффективно защитит от ветра и холодного воздуха. Благодаря специальному герметичному уплотнителю окно будет сохранять тепло в доме, уменьшая энергозатраты.</p> <p>Для установки мансардного окна дополнительно ну ---клад, соответсвующий типу вашей кровли (профилированная или плоская).</p></div>",u,8 211,UAH,шт,https://images.ua.prom.st/494631690_w640_h640_cid1051305_pid347436631-b764e14b.jpg,+,311060574
Мансардное окно VELUX GGL 3070 Premium 78x140 см. дерево,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p>Мансардное окно VELUX GGL 3070 -  ---рыванием по центральной оси. Окно из клееной древесины (сосна), имеет три слоя лакового покрытия. Модель оснащена вентиляционным клапаном-форточкой, совмещенным с ручкой для открывания (воздухообмен до 39 м3/час при 10 Па).</p> <p>Обновленная ручка-планка в верхней части окна обеспечивает удобство открывания и имеет встроенный вентиляционный клапан. Кроме того, при таком открывании под окном удобно расположить мебель. </p> <p>Новая усовершенствованная система изоляции ThermoTechnology™ эффективно защитит от ветра и холодного воздуха. Благодаря специальному герметичному уплотнителю окно будет сохранять тепло в доме, уменьшая энергозатраты.</p> <p>Для установки мансардного окна дополнительно ну ---клад, соответсвующий типу вашей кровли (профилированная или плоская).</p></div>",u,"9 715,50",UAH,шт,https://images.ua.prom.st/494631693_w640_h640_cid1051305_pid347436634-8c679cd5.jpg,+,777361085
Гидроизоляционный оклад Velux ESR 0000 78x98 см.,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p>Для установки мансардных окон необходимо использовать оклад. Оклады Velux обеспечивают герметичную и простую установку окна в кровлю и подходят ко всем видам кровельных покрытий. Конструкция окладов полностью исключает проникновение влаги внутрь помещения.</p></div>",u,1 122,UAH,шт,https://images.ua.prom.st/494631687_w640_h640_cid1051305_pid347436628-17a939a6.png,+,905847080
Мансардное окно VELUX GZR 3050 Optima Standart 78x118 см. дерево,Мансардные окна VELUX,"<div data-qaid=""product_description"" itemprop=""description""><p> Мансардное окно Velux GZR с верхн ---ткрыванием по центральной оси — недорогое и функциональное мансардное окно, которое прекрасн ---епогоды.</p> <p>Благодаря увеличенной площади остекления окна Velux серии GZR пропускают больше света, по сравнению с предыдущими моделями. Окно Velux GZR 3050 комплектуется верхней ручкой-планкой, помогает расположить окно на оптимальной высоте от пола и обеспечивает прекрасный вид.</p> <p>Окно удобно открывать, даже если под ним стоит мебель. Встроенная вентиляция в Мансардные окна Velux серии GZR позволяет проветривать комнату даже при закрытом окне.</p> <p>Для установки мансардного окна дополнительно нужно приобрести оклад, соответсвующий типу вашей кровли (профилированная или плоская).</p></div>",u,"4 428,50",UAH,шт,https://images.ua.prom.st/494631676_w640_h640_cid1051305_pid347436617-a94a64cc.jpg,+,733797743
