Название_позиции,Ключевые_слова,Описание,Тип_товара,Цена,Валюта,Единица_измерения,Ссылка_изображения,Наличие,Идентификатор_товара
"Соединитель трубы Profil 130, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Используется для соединения двух труб, оснащен EPDM-каучуковыми уплотнителями для обеспечения герметичности системы в местах соединений.</p></div>",u,"76,01",UAH,шт,https://images.ua.prom.st/494612554_w640_h640_cid1051305_pid347435243-853743df.jpg,+,377625218
"Держатель трубы Profil пласт. L220 130, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"77,98",UAH,шт,https://images.ua.prom.st/494612529_w640_h640_cid1051305_pid347435229-d86c3f46.jpg,+,499298080
"Заглушка желоба Profil правая Р 130, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Заглушка желоба правая - элемент водостока, который предотвращает протекание воды в местах, где заканчивается конструкция водосточного желоба. </p></div>",u,"48,22",UAH,шт,https://images.ua.prom.st/494612582_w640_h640_cid1051305_pid347435275-f65fd93c.jpg,+,575426759
"Заглушка желоба Profil правая Р 90, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Заглушка желоба правая - элемент водостока, который предотвращает протекание воды в местах, где заканчивается конструкция водосточного желоба. </p></div>",u,"36,65",UAH,шт,https://images.ua.prom.st/494612595_w640_h640_cid1051305_pid347435295-cd7a43dc.jpg,+,405749956
"Заглушка желоба Profil левая L 130, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Заглушка желоба левая - элемент водостока, который предотвращает протекание воды в местах, где заканчивается конструкция водосточного желоба. </p></div>",u,"48,22",UAH,шт,https://images.ua.prom.st/494612571_w640_h640_cid1051305_pid347435263-99c49e25.jpg,+,541747343
"Соединитель трубы Profil 90, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Используется для соединения двух труб, оснащен EPDM-каучуковыми уплотнителями для обеспечения герметичности системы в местах соединений.</p></div>",u,"76,01",UAH,шт,https://images.ua.prom.st/494612561_w640_h640_cid1051305_pid347435250-a7160772.jpg,+,20160675
"Соединитель желоба Profil 130, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Используется для соединения двух желобов, оснащен EPDM-каучуковыми уплотнителями для обеспечения герметичности системы в местах соединений.</p></div>",u,"76,01",UAH,шт,https://images.ua.prom.st/494612543_w640_h640_cid1051305_pid347435237-6577c0ca.jpg,+,691914695
"Колено Profil 100, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Колено применяется для обхода водосточной системы декоративных и ---ентов фасада здания. </p> ---</div>",u,"74,54",UAH,шт,https://images.ua.prom.st/494612604_w640_h640_cid1051305_pid347435315-1587373a.jpg,+,437866263
"Держатель трубы Profil пласт. L160 90, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"56,09",UAH,шт,https://images.ua.prom.st/494612518_w640_h640_cid1051305_pid347435223-d3bfa57c.jpg,+,976103508
"Соединитель трубы Profil 130, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Используется для соединения двух труб, оснащен EPDM-каучуковыми уплотнителями для обеспечения герметичности системы в местах соединений.</p></div>",u,"76,01",UAH,шт,https://images.ua.prom.st/494612555_w640_h640_cid1051305_pid347435244-6e472245.jpg,+,61799264
"Держатель трубы Profil пласт. L220 130, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"77,98",UAH,шт,https://images.ua.prom.st/494612531_w640_h640_cid1051305_pid347435230-fbed55f4.jpg,+,304094961
"Заглушка желоба Profil правая Р 130, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Заглушка желоба правая - элемент водостока, который предотвращает протекание воды в местах, где заканчивается конструкция водосточного желоба. </p></div>",u,"48,22",UAH,шт,https://images.ua.prom.st/494612584_w640_h640_cid1051305_pid347435279-185e1abb.jpg,+,683363763
"Держатель трубы Profil пласт. L100 90, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"50,18",UAH,шт,https://images.ua.prom.st/494612506_w640_h640_cid1051305_pid347435216-18d88b24.jpg,+,311390410
"Заглушка желоба Profil левая L 90, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Заглушка желоба левая - элемент водостока, который предотвращает протекание воды в местах, где заканчивается конструкция водосточного желоба. </p></div>",u,"36,65",UAH,шт,https://images.ua.prom.st/494612573_w640_h640_cid1051305_pid347435265-40fd979c.jpg,+,846119180
"Заглушка желоба Profil правая Р 90, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Заглушка желоба правая - элемент водостока, который предотвращает протекание воды в местах, где заканчивается конструкция водосточного желоба. </p></div>",u,"36,65",UAH,шт,https://images.ua.prom.st/494612597_w640_h640_cid1051305_pid347435297-01d9d02b.jpg,+,576030279
"Соединитель трубы Profil 90, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Используется для соединения двух труб, оснащен EPDM-каучуковыми уплотнителями для обеспечения герметичности системы в местах соединений.</p></div>",u,"76,01",UAH,шт,https://images.ua.prom.st/494612562_w640_h640_cid1051305_pid347435251-d52ee017.jpg,+,955450767
"Соединитель желоба Profil 90, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Используется для соединения двух желобов, оснащен EPDM-каучуковыми уплотнителями для обеспечения герметичности системы в местах соединений.</p></div>",u,"76,01",UAH,шт,https://images.ua.prom.st/494612545_w640_h640_cid1051305_pid347435238-d4c338ac.jpg,+,998695320
"Держатель трубы Profil пласт. L160 90, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"56,09",UAH,шт,https://images.ua.prom.st/494612520_w640_h640_cid1051305_pid347435224-5dd476c8.jpg,+,450132733
"Колено Profil 75, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Колено применяется для обхода водосточной системы декоративных и ---ентов фасада здания. </p> ---</div>",u,"65,68",UAH,шт,https://images.ua.prom.st/494612605_w640_h640_cid1051305_pid347435316-4826fb0f.jpg,+,333289475
"Заглушка желоба Profil правая Р 130, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Заглушка желоба правая - элемент водостока, который предотвращает протекание воды в местах, где заканчивается конструкция водосточного желоба. </p></div>",u,"48,22",UAH,шт,https://images.ua.prom.st/494612586_w640_h640_cid1051305_pid347435281-86af2ad7.jpg,+,435224058
"Держатель трубы Profil пласт. L100 90, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"50,18",UAH,шт,https://images.ua.prom.st/494612507_w640_h640_cid1051305_pid347435217-49caf43b.jpg,+,543477534
"Соединитель трубы Profil 130, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Используется для соединения двух труб, оснащен EPDM-каучуковыми уплотнителями для обеспечения герметичности системы в местах соединений.</p></div>",u,"76,01",UAH,шт,https://images.ua.prom.st/494612556_w640_h640_cid1051305_pid347435245-7f98c387.jpg,+,840435562
"Держатель трубы Profil пласт. L220 130, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"77,98",UAH,шт,https://images.ua.prom.st/494612533_w640_h640_cid1051305_pid347435231-1ca938e2.jpg,+,613074866
"Заглушка желоба Profil левая L 90, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Заглушка желоба левая - элемент водостока, который предотвращает протекание воды в местах, где заканчивается конструкция водосточного желоба. </p></div>",u,"36,65",UAH,шт,https://images.ua.prom.st/494612575_w640_h640_cid1051305_pid347435267-98d0a4ff.jpg,+,489754089
"Заглушка желоба Profil правая Р 90, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Заглушка желоба правая - элемент водостока, который предотвращает протекание воды в местах, где заканчивается конструкция водосточного желоба. </p></div>",u,"36,65",UAH,шт,https://images.ua.prom.st/494612598_w640_h640_cid1051305_pid347435299-2d0d6c0c.jpg,+,199097262
"Соединитель желоба Profil 90, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Используется для соединения двух желобов, оснащен EPDM-каучуковыми уплотнителями для обеспечения герметичности системы в местах соединений.</p></div>",u,"76,01",UAH,шт,https://images.ua.prom.st/494612547_w640_h640_cid1051305_pid347435239-2f3bd02e.jpg,+,520667355
"Соединитель трубы Profil 90, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Используется для соединения двух труб, оснащен EPDM-каучуковыми уплотнителями для обеспечения герметичности системы в местах соединений.</p></div>",u,"76,01",UAH,шт,https://images.ua.prom.st/494612563_w640_h640_cid1051305_pid347435254-ca6814c5.jpg,+,714193022
"Держатель трубы Profil пласт. L160 90, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"56,09",UAH,шт,https://images.ua.prom.st/494612522_w640_h640_cid1051305_pid347435225-1e3c63af.jpg,+,419031315
"Колено Profil 75, графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Колено применяется для обхода водосточной системы декоративных и ---ентов фасада здания. </p> ---</div>",u,"65,68",UAH,шт,https://images.ua.prom.st/494612606_w640_h640_cid1051305_pid347435317-cddc5c3f.jpg,+,968638999
"Заглушка желоба Profil правая Р 130, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Заглушка желоба правая - элемент водостока, который предотвращает протекание воды в местах, где заканчивается конструкция водосточного желоба. </p></div>",u,"48,22",UAH,шт,https://images.ua.prom.st/494612588_w640_h640_cid1051305_pid347435284-584d0277.jpg,+,919637509
"Соединитель трубы Profil 130, кирпичный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Используется для соединения двух труб, оснащен EPDM-каучуковыми уплотнителями для обеспечения герметичности системы в местах соединений.</p></div>",u,"76,01",UAH,шт,https://images.ua.prom.st/494612557_w640_h640_cid1051305_pid347435246-ee9f00b9.jpg,+,473758280
"Держатель трубы Profil пласт. L160 130, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"64,70",UAH,шт,https://images.ua.prom.st/494612509_w640_h640_cid1051305_pid347435218-968f61ab.jpg,+,133381790
"Заглушка желоба Profil левая L 90, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Заглушка желоба левая - элемент водостока, который предотвращает протекание воды в местах, где заканчивается конструкция водосточного желоба. </p></div>",u,"36,65",UAH,шт,https://images.ua.prom.st/494612577_w640_h640_cid1051305_pid347435269-692778ec.jpg,+,81316422
"Держатель трубы Profil пласт. L220 130, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"77,98",UAH,шт,https://images.ua.prom.st/494612534_w640_h640_cid1051305_pid347435232-a6840ac0.jpg,+,85614874
"Заглушка желоба Profil левая L 130, белый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Заглушка желоба левая - элемент водостока, который предотвращает протекание воды в местах, где заканчивается конструкция водосточного желоба. </p></div>",u,"48,22",UAH,шт,https://images.ua.prom.st/494612564_w640_h640_cid1051305_pid347435255-fc6d8073.jpg,+,735960490
Title not found,Category not found,,u,,,шт,,+,754611404
Title not found,Category not found,,u,,,шт,,+,801668198
Title not found,Category not found,,u,,,шт,,+,662051486
Title not found,Category not found,,u,,,шт,,+,930764077
Title not found,Category not found,,u,,,шт,,+,385324479
Title not found,Category not found,,u,,,шт,,+,294843046
Title not found,Category not found,,u,,,шт,,+,23805743
Title not found,Category not found,,u,,,шт,,+,403422045
Title not found,Category not found,,u,,,шт,,+,683274614
Title not found,Category not found,,u,,,шт,,+,718527561
"Держатель трубы Profil пласт. L160 90, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Предназначен для крепления водосточной трубы к стене здания. </p></div>",u,"56,09",UAH,шт,https://images.ua.prom.st/494612525_w640_h640_cid1051305_pid347435227-c5e1a809.jpg,+,841684613
Title not found,Category not found,,u,,,шт,,+,490307783
Title not found,Category not found,,u,,,шт,,+,952598272
Title not found,Category not found,,u,,,шт,,+,465333734
Title not found,Category not found,,u,,,шт,,+,386416410
Title not found,Category not found,,u,,,шт,,+,601326860
Title not found,Category not found,,u,,,шт,,+,309818529
Title not found,Category not found,,u,,,шт,,+,658855584
Title not found,Category not found,,u,,,шт,,+,829420982
Title not found,Category not found,,u,,,шт,,+,285882403
Title not found,Category not found,,u,,,шт,,+,472887473
Title not found,Category not found,,u,,,шт,,+,365654604
Title not found,Category not found,,u,,,шт,,+,947789500
Title not found,Category not found,,u,,,шт,,+,75652672
Title not found,Category not found,,u,,,шт,,+,39234537
Title not found,Category not found,,u,,,шт,,+,516095584
"Колено Profil 100, коричневый",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Колено применяется для обхода водосточной системы декоративных и ---ентов фасада здания. </p> ---</div>",u,"74,54",UAH,шт,https://images.ua.prom.st/494612602_w640_h640_cid1051305_pid347435311-88af1aa1.jpg,+,286418991
Title not found,Category not found,,u,,,шт,,+,217695580
Title not found,Category not found,,u,,,шт,,+,143436251
Title not found,Category not found,,u,,,шт,,+,153732483
Title not found,Category not found,,u,,,шт,,+,515474233
Title not found,Category not found,,u,,,шт,,+,202761021
Title not found,Category not found,,u,,,шт,,+,173737025
Title not found,Category not found,,u,,,шт,,+,700033346
Title not found,Category not found,,u,,,шт,,+,698227545
Title not found,Category not found,,u,,,шт,,+,741651579
Title not found,Category not found,,u,,,шт,,+,772280310
"Угол Profil наружный 130  Z 90°, красный",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Устанавливается на наружных углах кровли для изменения направления желоба. Есть возможность изготовить любой угол от 70° до 170° под заказ.</p></div>",u,"228,53",UAH,шт,https://images.ua.prom.st/494616963_w640_h640_cid1051305_pid347435389-325471b9.jpg,+,448781105
Title not found,Category not found,,u,,,шт,,+,222783250
Title not found,Category not found,,u,,,шт,,+,495665074
Title not found,Category not found,,u,,,шт,,+,542412650
Title not found,Category not found,,u,,,шт,,+,752449888
Title not found,Category not found,,u,,,шт,,+,898312177
Title not found,Category not found,,u,,,шт,,+,308337799
Title not found,Category not found,,u,,,шт,,+,71808973
Title not found,Category not found,,u,,,шт,,+,18070043
Title not found,Category not found,,u,,,шт,,+,810203455
Title not found,Category not found,,u,,,шт,,+,809291121
Title not found,Category not found,,u,,,шт,,+,278411795
Title not found,Category not found,,u,,,шт,,+,164481082
Title not found,Category not found,,u,,,шт,,+,228457893
Title not found,Category not found,,u,,,шт,,+,312031800
Title not found,Category not found,,u,,,шт,,+,462270999
Title not found,Category not found,,u,,,шт,,+,430411582
Title not found,Category not found,,u,,,шт,,+,942111741
Title not found,Category not found,,u,,,шт,,+,941511429
Title not found,Category not found,,u,,,шт,,+,633314247
Title not found,Category not found,,u,,,шт,,+,687094338
Title not found,Category not found,,u,,,шт,,+,188822765
Title not found,Category not found,,u,,,шт,,+,991935470
Title not found,Category not found,,u,,,шт,,+,992416451
Title not found,Category not found,,u,,,шт,,+,442149003
Title not found,Category not found,,u,,,шт,,+,176399331
Title not found,Category not found,,u,,,шт,,+,348620301
Title not found,Category not found,,u,,,шт,,+,972280890
Title not found,Category not found,,u,,,шт,,+,12329875
Title not found,Category not found,,u,,,шт,,+,213082981
Title not found,Category not found,,u,,,шт,,+,12252522
Title not found,Category not found,,u,,,шт,,+,369439530
Title not found,Category not found,,u,,,шт,,+,335438793
Title not found,Category not found,,u,,,шт,,+,117793427
Title not found,Category not found,,u,,,шт,,+,207196046
Title not found,Category not found,,u,,,шт,,+,884795508
Title not found,Category not found,,u,,,шт,,+,855860207
Title not found,Category not found,,u,,,шт,,+,442710885
Title not found,Category not found,,u,,,шт,,+,357858162
Title not found,Category not found,,u,,,шт,,+,217916284
Title not found,Category not found,,u,,,шт,,+,827004382
Title not found,Category not found,,u,,,шт,,+,862704735
Title not found,Category not found,,u,,,шт,,+,400071613
Title not found,Category not found,,u,,,шт,,+,349685441
Title not found,Category not found,,u,,,шт,,+,783815133
Title not found,Category not found,,u,,,шт,,+,895938438
Title not found,Category not found,,u,,,шт,,+,875612831
Title not found,Category not found,,u,,,шт,,+,979303830
Title not found,Category not found,,u,,,шт,,+,640952667
Title not found,Category not found,,u,,,шт,,+,842798119
Title not found,Category not found,,u,,,шт,,+,486271317
Title not found,Category not found,,u,,,шт,,+,404734480
Title not found,Category not found,,u,,,шт,,+,59672879
Title not found,Category not found,,u,,,шт,,+,737807768
Title not found,Category not found,,u,,,шт,,+,921923503
Title not found,Category not found,,u,,,шт,,+,830833341
Title not found,Category not found,,u,,,шт,,+,277093173
Title not found,Category not found,,u,,,шт,,+,913470217
Title not found,Category not found,,u,,,шт,,+,917270177
Title not found,Category not found,,u,,,шт,,+,277254377
Title not found,Category not found,,u,,,шт,,+,733094694
Title not found,Category not found,,u,,,шт,,+,595565172
Title not found,Category not found,,u,,,шт,,+,768534342
Title not found,Category not found,,u,,,шт,,+,893083843
Title not found,Category not found,,u,,,шт,,+,299670307
Title not found,Category not found,,u,,,шт,,+,266884056
Title not found,Category not found,,u,,,шт,,+,694602874
Title not found,Category not found,,u,,,шт,,+,585576907
Title not found,Category not found,,u,,,шт,,+,622347568
Title not found,Category not found,,u,,,шт,,+,525954479
Title not found,Category not found,,u,,,шт,,+,271368879
Title not found,Category not found,,u,,,шт,,+,731692804
Title not found,Category not found,,u,,,шт,,+,212431481
Title not found,Category not found,,u,,,шт,,+,139985963
Title not found,Category not found,,u,,,шт,,+,255494287
Title not found,Category not found,,u,,,шт,,+,934002299
Title not found,Category not found,,u,,,шт,,+,152818651
Title not found,Category not found,,u,,,шт,,+,320847875
Title not found,Category not found,,u,,,шт,,+,364150470
Title not found,Category not found,,u,,,шт,,+,715853313
Title not found,Category not found,,u,,,шт,,+,999240129
Title not found,Category not found,,u,,,шт,,+,222929196
Title not found,Category not found,,u,,,шт,,+,247168998
Title not found,Category not found,,u,,,шт,,+,832689460
Title not found,Category not found,,u,,,шт,,+,370091175
Title not found,Category not found,,u,,,шт,,+,211832169
Title not found,Category not found,,u,,,шт,,+,683872592
Title not found,Category not found,,u,,,шт,,+,576206662
Title not found,Category not found,,u,,,шт,,+,645903962
Title not found,Category not found,,u,,,шт,,+,229165999
Title not found,Category not found,,u,,,шт,,+,799768351
Title not found,Category not found,,u,,,шт,,+,57179940
Title not found,Category not found,,u,,,шт,,+,436511374
Title not found,Category not found,,u,,,шт,,+,378871178
Title not found,Category not found,,u,,,шт,,+,283614846
Title not found,Category not found,,u,,,шт,,+,676929893
Title not found,Category not found,,u,,,шт,,+,237127370
Title not found,Category not found,,u,,,шт,,+,848602273
Title not found,Category not found,,u,,,шт,,+,457362558
Title not found,Category not found,,u,,,шт,,+,103419236
Title not found,Category not found,,u,,,шт,,+,587178391
Title not found,Category not found,,u,,,шт,,+,179000495
Title not found,Category not found,,u,,,шт,,+,938077419
Title not found,Category not found,,u,,,шт,,+,506707911
Title not found,Category not found,,u,,,шт,,+,941708003
Title not found,Category not found,,u,,,шт,,+,32688630
Title not found,Category not found,,u,,,шт,,+,393668120
Title not found,Category not found,,u,,,шт,,+,323102766
"Труба водосточная Profil 75, 4 м., графит",Водосточные системы Profil,"<div data-qaid=""product_description"" itemprop=""description""><p>Служит для отвода воды от ливнеприемника на землю или в дренажную систему. </p></div>",u,"238,13",UAH,шт,https://images.ua.prom.st/494616948_w640_h640_cid1051305_pid347436110-0d3a48a1.jpg,+,131443499
Title not found,Category not found,,u,,,шт,,+,50654684
